"","country","year","importValue","politicalStability","governmentEffectiveness","ruleOfLaw"
"257","bosnia and herzegovina",2006,"2646843",0.15813110768795,-0.416348099708557,-0.424462050199509
"258","bosnia and herzegovina",2007,"4079891",0.101073488593102,-0.602799952030182,-0.264000415802002
"259","bosnia and herzegovina",2008,"2595362",-0.0298119410872459,-0.507311522960663,-0.163173630833626
"260","bosnia and herzegovina",2009,"1787710",-0.0360501259565353,-0.653342366218567,-0.0975321531295776
"261","bosnia and herzegovina",2010,"2248814",-0.12797349691391,-0.695251762866974,-0.0972179844975471
"262","botswana",2000,"2208004",0.644347071647644,0.955815434455872,0.644490540027618
"263","botswana",2002,"8424992",0.651493310928345,0.791590750217438,0.772715330123901
"264","botswana",2003,"3431317",0.691309571266174,1.07829761505127,0.791470527648926
"265","botswana",2004,"2424120",0.726399123668671,0.887640833854675,0.66397500038147
"266","botswana",2005,"9548445",0.574014544487,1.05623316764832,0.673088669776917
"267","botswana",2006,"8075377",0.48919215798378,0.963136434555054,0.496009975671768
"268","botswana",2007,"1836118",0.482234001159668,0.98290342092514,0.437113970518112
"269","botswana",2008,"1247699",0.484932661056519,0.984753847122192,0.484112560749054
"270","botswana",2009,"1488157",0.421354830265045,0.931979238986969,0.484439998865128
"271","botswana",2010,"2236667",0.442050665616989,0.960707545280457,0.456155002117157
"272","brazil",1996,"5596144",0.0923919677734375,-0.246358603239059,0.41197681427002
"273","brazil",1998,"8341125",0.172169864177704,-0.371126711368561,0.403593182563782
"274","brazil",2000,"20710296",0.150481402873993,0.177808657288551,0.367499709129333
"275","brazil",2002,"5028741",0.392587155103683,0.286004036664963,0.286738693714142
"276","brazil",2003,"3177932",0.410508275032043,0.000221270558540709,0.313234627246857
"277","brazil",2004,"2193394",0.371802002191544,-0.276675015687943,0.0546421445906162
"278","brazil",2005,"2960296",0.445943087339401,-0.231576845049858,0.0410742722451687
"279","brazil",2006,"6430750",0.453465908765793,-0.277748018503189,-0.0335076302289963
"280","brazil",2007,"5777629",0.489638328552246,-0.377915233373642,-0.0232905186712742
"281","brazil",2008,"11893534",0.512927532196045,-0.292797952890396,0.0651821196079254
"282","brazil",2009,"14584818",0.486521005630493,0.164363905787468,0.109536670148373
"283","brazil",2010,"17926909",0.529738068580627,0.00571219995617867,0.164491161704063
"284","brunei darussalam",1996,"2301222",-0.695513606071472,1.1563218832016,1.53016066551208
"285","brunei darussalam",1998,"228770",-0.791013419628143,1.03379225730896,0.871802270412445
"286","brunei darussalam",2000,"626988",-0.769605875015259,1.23995649814606,0.936609745025635
"287","brunei darussalam",2002,"230445",-0.917489290237427,1.07505202293396,1.06422352790833
"288","brunei darussalam",2003,"94449",-0.920840203762054,1.13988208770752,0.998453378677368
"289","brunei darussalam",2004,"1499669",-0.857348680496216,1.39954090118408,1.18953955173492
